zipcode,lat,lon,CallerNum_count
37090,36.108024,-86.223581,88
37067,45.35600139,10.7338529,85
38478,35.19856809,-87.01567261,83
38556,36.41564836,-84.92004708,82
37238,43.49940253,20.89350927,81
37380,47.51942715,0.722283832,81
37924,36.0332193,-83.88794,77
37201,43.57516347,21.36455065,73
38024,46.35672554,10.67013235,73
37764,36.0187466,129.3557694,73
37865,35.7955664,-83.7852796,72
37923,35.9181217,-84.0823797,72
37073,51.53408035,9.935202899,71
38019,46.3255712,11.0237119,67
37849,36.0174492,-84.0434552,66
37650,36.13619239,-82.42459575,65
37074,36.40925348,-86.14230425,62
37804,48.96019493,14.9289351,59
38242,45.20652318,5.763314537,57
37061,36.32367543,-87.70719114,56
37058,45.1788433,11.1530397,55
37687,36.03817499,129.3508335,55
37085,51.5096417,9.96329635,55
37397,35.19777298,-85.51689205,54
37043,36.5075757,-87.3117153,53
37931,35.9697847,-84.1429356,52
37189,36.25659063,-86.82143408,52
37692,36.03217142,129.3448305,52
37321,35.4958309,-85.0118222,52
37046,45.24086,11.3381755,51
37166,35.9759398,-85.7368809,50
37854,35.86787163,-84.70273978,50
38119,44.9766803,5.795346859,49
37080,36.352059,-87.006121,47
38544,36.0284392,-85.719672,47
37188,36.4776,-86.6470822,47
37031,45.44773206,11.16155468,47
37083,51.51667943,9.944900064,46
37915,35.97198804,-83.9021695,45
37353,55.73141139,24.33753787,44
37354,36.2614054,128.6810878,44
37026,-21.5743663,-45.4462226,43
38474,35.5296895,-87.1935135,42
37641,36.19273483,-82.66004153,42
38570,45.32077778,5.97244085,42
38574,36.1566041,-85.2614,42
37803,48.95911797,14.86005579,42
37869,36.51196424,-83.26284935,40
37356,35.23276956,-85.83037147,40
37909,35.96902877,129.4131241,39
37062,45.39196553,10.91356298,39
37640,36.34237434,-81.97702338,39
37721,36.05227888,129.3614958,39
37149,35.81237315,-86.183727,39
37219,36.1633994,-86.78415607,39
38120,35.0993449,-89.8489174,37
37701,49.14401774,15.00917482,36
37060,45.3030743,10.8162054,36
37357,35.60390559,-85.92982977,36
37191,36.50320612,-87.53181001,36
37037,45.3922233,11.2937016,35
38571,36.02871775,-85.04785298,35
37322,48.8243187,14.52692417,35
38103,35.1434877,-90.0451365,35
37922,35.87364876,-84.09779774,34
37034,35.62997571,-86.689882,34
37305,49.18291576,14.38388065,34
37381,35.6898717,-84.82543821,33
37082,36.1021173,-87.1090097,33
37069,45.3594654,10.84744773,33
37025,35.9728119,-87.3055718,33
38023,46.3563444,11.02607815,32
38472,49.08205095,13.69457352,31
38469,35.07230499,-87.42051031,31
38460,45.70142072,5.298514381,31
38068,45.8974954,11.04243384,31
37830,36.0136273,-84.22094516,31
37179,35.7765114,-86.89594117,30
37656,40.46479505,-6.040027718,30
38080,45.6099709,5.2164962,30
38483,35.4312901,-87.33336769,29
37340,47.42703315,0.290679504,29
37645,36.56054876,-82.66153833,29
